PartitionKey,RowKey,zip,store1,store2,store3
00210,,210,731,524,742
00211,,211,731,524,742
00212,,212,731,524,742
00213,,213,731,524,742
00214,,214,731,524,742
00215,,215,731,524,742
00501,,501,61,696,676
00544,,544,61,696,676
00601,,601,548,504,816
00602,,602,504,548,816
00603,,603,504,548,816
00604,,604,504,548,816
00605,,605,504,548,816
00606,,606,504,548,816
00610,,610,504,548,816
00611,,611,548,504,816
00612,,612,548,504,816
00613,,613,548,504,816
00614,,614,548,504,816
00616,,616,548,816,504
00617,,617,816,548,504
00622,,622,504,548,816
00623,,623,504,548,816
00624,,624,548,504,816
00627,,627,548,504,816
00631,,631,548,504,816
00636,,636,504,548,816
00637,,637,504,548,816
00638,,638,816,548,504
00641,,641,548,504,816
00646,,646,816,144,548
00647,,647,504,548,816
00650,,650,548,816,504
00652,,652,548,816,504
00653,,653,504,548,816
00656,,656,548,504,816
00659,,659,548,504,816
00660,,660,504,548,816
00662,,662,504,548,816
00664,,664,548,504,816
00667,,667,504,548,816
00669,,669,548,504,816
00670,,670,504,548,816
00674,,674,816,548,504
00676,,676,504,548,816
00677,,677,504,548,816
00678,,678,548,504,816
00680,,680,504,548,816
00681,,681,504,548,816
00682,,682,504,548,816
00683,,683,504,548,816
00685,,685,504,548,816
00687,,687,816,548,504
00688,,688,548,504,816
00690,,690,504,548,816
00692,,692,816,548,144
00693,,693,816,548,144
00694,,694,816,548,144
00698,,698,504,548,816
00703,,703,816,144,548
00704,,704,144,816,548
00705,,705,816,548,144
00707,,707,144,816,548
00714,,714,144,816,548
00715,,715,548,504,816
00716,,716,548,504,816
00717,,717,548,504,816
00718,,718,144,816,548
00719,,719,816,144,548
00720,,720,816,548,504
00721,,721,144,816,548
00723,,723,144,816,548
00725,,725,816,144,548
00726,,726,816,144,548
00728,,728,548,504,816
00729,,729,144,816,548
00730,,730,548,504,816
00731,,731,548,504,816
00732,,732,548,504,816
00733,,733,548,504,816
00734,,734,548,504,816
00735,,735,144,816,548
00736,,736,816,144,548
00737,,737,816,144,548
00738,,738,144,816,548
00739,,739,816,144,548
00740,,740,144,816,548
00741,,741,144,816,548
00742,,742,144,816,548
00744,,744,144,816,548
00745,,745,144,816,548
00751,,751,548,816,144
00754,,754,144,816,548
00757,,757,548,816,504
00765,,765,144,816,548
00766,,766,548,504,816
00767,,767,144,816,548
00769,,769,548,816,144
00771,,771,144,816,548
00772,,772,816,144,548
00773,,773,144,816,548
00775,,775,144,816,548
00777,,777,144,816,548
00778,,778,144,816,548
00780,,780,548,504,816
00782,,782,816,144,548
00783,,783,816,548,144
00784,,784,144,816,548
00785,,785,548,504,816
00786,,786,816,548,144
00791,,791,144,816,548
00792,,792,144,816,548
00794,,794,816,548,144
00795,,795,548,504,816
00801,,801,144,816,548
00802,,802,144,816,548
00803,,803,144,816,548
00804,,804,144,816,548
00805,,805,144,816,548
00820,,820,144,816,548
00821,,821,144,816,548
00822,,822,144,816,548
00823,,823,144,816,548
00824,,824,144,816,548
00830,,830,144,816,548
00831,,831,144,816,548
00840,,840,144,816,548
00841,,841,144,816,548
00850,,850,144,816,548
00851,,851,144,816,548
00901,,901,816,144,548
00902,,902,816,144,548
00906,,906,816,144,548
00907,,907,816,144,548
00908,,908,816,144,548
00909,,909,816,144,548
00910,,910,816,144,548
00911,,911,816,144,548
00912,,912,816,144,548
00913,,913,816,144,548
00914,,914,816,144,548
00915,,915,816,144,548
00916,,916,816,144,548
00917,,917,816,144,548
00918,,918,816,144,548
00919,,919,816,144,548
00920,,920,816,144,548
00921,,921,816,144,548
00922,,922,816,144,548
00923,,923,816,144,548
00924,,924,816,144,548
00925,,925,816,144,548
00926,,926,816,144,548
00927,,927,816,144,548
00928,,928,816,144,548
00929,,929,816,144,548
00930,,930,816,144,548
00931,,931,816,144,548
00933,,933,816,144,548
00934,,934,816,144,548
00935,,935,816,144,548
00936,,936,816,144,548
00937,,937,816,144,548
00938,,938,816,144,548
00939,,939,816,144,548
00940,,940,816,144,548
00949,,949,816,144,548
00950,,950,816,144,548
00951,,951,816,144,548
00952,,952,816,144,548
00953,,953,816,144,548
00954,,954,816,144,548
00955,,955,816,144,548
00956,,956,816,144,548
00957,,957,816,144,548
00958,,958,816,144,548
00959,,959,816,144,548
00960,,960,816,144,548
00961,,961,816,144,548
00962,,962,816,144,548
00963,,963,816,144,548
00965,,965,816,144,548
00966,,966,816,144,548
00968,,968,816,144,548
00969,,969,816,144,548
00970,,970,816,144,548
00971,,971,816,144,548
00975,,975,816,144,548
00976,,976,816,144,548
00977,,977,816,144,548
00978,,978,816,144,548
00979,,979,816,144,548
00981,,981,816,144,548
00982,,982,816,144,548
00983,,983,816,144,548
00984,,984,816,144,548
00985,,985,816,144,548
00986,,986,816,144,548
00987,,987,816,144,548
00988,,988,816,144,548
01001,,1001,787,699,649
01002,,1002,787,649,699
01003,,1003,787,699,649
01004,,1004,787,699,649
01005,,1005,787,795,855
01007,,1007,787,649,699
01008,,1008,699,787,649
01009,,1009,787,649,704
01010,,1010,787,649,704
01011,,1011,699,787,649
01012,,1012,787,699,649
01013,,1013,787,649,699
01014,,1014,787,649,699
01020,,1020,787,649,699
01021,,1021,787,649,699
01022,,1022,787,649,699
01026,,1026,699,787,649
01027,,1027,787,699,649
01028,,1028,787,649,975
01029,,1029,699,787,649
01030,,1030,787,699,649
01031,,1031,787,589,795
01032,,1032,787,699,649
01033,,1033,787,649,699
01034,,1034,699,787,649
01035,,1035,787,699,649
01036,,1036,787,649,975
01037,,1037,787,589,649
01038,,1038,787,699,649
01039,,1039,787,699,649
01040,,1040,787,649,699
01041,,1041,787,649,699
01050,,1050,699,787,649
01053,,1053,787,699,649
01054,,1054,787,175,589
01056,,1056,787,649,699
01057,,1057,787,649,704
01059,,1059,787,699,649
01060,,1060,787,699,649
01061,,1061,787,699,649
01062,,1062,787,699,649
01063,,1063,787,699,649
01066,,1066,787,699,649
01068,,1068,787,795,855
01069,,1069,787,649,704
01070,,1070,699,787,235
01071,,1071,787,699,649
01072,,1072,787,175,589
01073,,1073,787,699,649
01074,,1074,787,795,855
01075,,1075,787,649,699
01077,,1077,787,649,699
01079,,1079,787,649,704
01080,,1080,787,649,699
01081,,1081,787,649,704
01082,,1082,787,699,649
01083,,1083,787,649,704
01084,,1084,787,699,649
01085,,1085,787,649,699
01086,,1086,787,699,649
01088,,1088,787,699,649
01089,,1089,787,649,699
01090,,1090,787,649,699
01092,,1092,787,649,704
01093,,1093,787,699,649
01094,,1094,787,795,855
01095,,1095,787,649,699
01096,,1096,787,699,649
01097,,1097,787,699,649
01098,,1098,699,787,649
01101,,1101,787,649,699
01102,,1102,787,649,699
01103,,1103,787,649,699
01104,,1104,787,649,699
01105,,1105,787,649,699
01106,,1106,787,649,699
01107,,1107,787,649,699
01108,,1108,787,649,699
01109,,1109,787,649,699
01111,,1111,787,649,699
01114,,1114,787,649,699
01115,,1115,787,649,699
01116,,1116,787,649,699
01118,,1118,787,649,699
